Player,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Wil Myers,Padres,155,649,30,80,74,20,10.80%,27.70%,0.22,0.297,0.243,0.328,0.464,0.335,107,0.6,6.5,-18.9,0.9,10047
Yangervis Solarte,Padres,128,512,18,49,64,3,7.20%,11.90%,0.161,0.258,0.255,0.314,0.416,0.311,91,-3.1,-8.7,0.3,0.8,5352
Mark Reynolds,Rockies,148,593,30,82,97,2,11.60%,29.50%,0.219,0.343,0.267,0.352,0.487,0.357,104,-2.7,0.4,-11.6,0.8,7619
Hunter Pence,Giants,134,539,13,55,67,2,7.40%,18.90%,0.126,0.301,0.26,0.315,0.385,0.303,86,2.7,-6.9,-3.3,0.7,8252
Josh Bell,Pirates,159,620,26,75,90,2,10.60%,18.90%,0.211,0.278,0.255,0.334,0.466,0.338,108,-6.8,-0.1,-13.6,0.6,13145
Shin-Soo Choo,Rangers,149,636,22,96,78,12,12.10%,21.10%,0.162,0.305,0.261,0.357,0.423,0.339,104,-1.7,1.2,-17.1,0.6,3174
Nick Markakis,Braves,160,670,8,76,76,0,10.10%,16.40%,0.11,0.324,0.275,0.354,0.384,0.321,93,-0.9,-6.7,-9.7,0.5,5930
Ryon Healy,Athletics,149,605,25,66,78,0,3.80%,23.50%,0.181,0.319,0.271,0.302,0.451,0.32,100,-1.8,-1.6,-16.8,0.3,15447
Alcides Escobar,Royals,162,629,6,71,54,4,2.40%,16.20%,0.107,0.291,0.25,0.272,0.357,0.269,62,3.5,-26.2,6.4,0.2,6310
Tim Anderson,White Sox,146,606,17,72,56,15,2.10%,26.70%,0.145,0.328,0.257,0.276,0.402,0.288,78,3.7,-12.7,-7,0.1,15172
Chris Davis,Orioles,128,524,26,65,61,1,11.60%,37.20%,0.208,0.301,0.215,0.309,0.423,0.312,92,-0.9,-5.9,-11.1,0.1,9272
Carlos Gonzalez,Rockies,136,534,14,72,57,3,10.50%,22.30%,0.162,0.318,0.262,0.339,0.423,0.327,84,-0.5,-11.5,-6.5,-0.1,7287
Alex Gordon,Royals,148,541,9,52,45,7,8.30%,23.30%,0.107,0.261,0.208,0.293,0.315,0.269,62,0.9,-24.4,4.7,-0.1,5209
Miguel Cabrera,Tigers,130,529,16,50,60,0,10.20%,20.80%,0.149,0.292,0.249,0.329,0.399,0.313,93,-8.1,-12.8,-6.5,-0.1,1744
Nomar Mazara,Rangers,148,616,20,64,101,2,8.90%,20.60%,0.17,0.293,0.253,0.323,0.422,0.317,89,-2.2,-10.6,-11.8,-0.1,14553
Melky Cabrera,- - -,156,666,17,78,85,1,5.40%,11.10%,0.137,0.299,0.285,0.324,0.423,0.319,98,-3.8,-5.3,-18.9,-0.1,4022
Dansby Swanson,Braves,144,551,6,59,51,3,10.70%,21.80%,0.092,0.292,0.232,0.312,0.324,0.276,64,1.6,-24,3.5,-0.3,18314
Jose Peraza,Reds,143,518,5,50,37,23,3.90%,13.50%,0.066,0.293,0.259,0.297,0.324,0.273,61,2.8,-22.9,2.9,-0.3,13593
Jose Bautista,Blue Jays,157,686,23,92,65,6,12.20%,24.80%,0.164,0.239,0.203,0.308,0.366,0.295,81,-4.9,-20.9,-6.2,-0.4,1887
Maikel Franco,Phillies,154,623,24,66,76,0,6.60%,15.20%,0.179,0.234,0.23,0.281,0.409,0.292,76,-3.1,-21.9,-2.5,-0.4,12179
Hanley Ramirez,Red Sox,133,553,23,58,62,1,9.20%,21.00%,0.188,0.272,0.242,0.32,0.429,0.318,92,-5.3,-10.7,-13.2,-0.5,8001
Kendrys Morales,Blue Jays,150,608,28,67,85,0,7.10%,21.70%,0.196,0.278,0.25,0.308,0.445,0.32,98,-9.4,-10.9,-15.7,-0.6,8610
Tommy Joseph,Phillies,142,533,22,51,69,1,6.20%,24.20%,0.192,0.28,0.24,0.289,0.432,0.305,85,-4.4,-14.4,-13,-1,10349
Carlos Beltran,Astros,129,509,14,60,51,0,6.50%,20.00%,0.152,0.263,0.231,0.283,0.383,0.283,77,-2.8,-17.2,-11.3,-1.1,589
Mark Trumbo,Orioles,146,603,23,79,65,1,7.00%,24.70%,0.163,0.278,0.234,0.289,0.397,0.295,81,-0.9,-15.4,-17.3,-1.2,6876
Rougned Odor,Rangers,162,651,30,79,75,15,4.90%,24.90%,0.193,0.224,0.204,0.252,0.397,0.272,58,1.8,-32,-2.7,-1.2,12282
Albert Pujols,Angels,149,636,23,53,101,3,5.80%,14.60%,0.145,0.249,0.241,0.286,0.386,0.286,78,-6.3,-23.5,-17.4,-1.9,1177
